Type,City,Country,Latitude,Longitude
destination charger,Manteo,United States,35.907631,-75.67063
destination charger,McDonough,United States,33.42794,-84.184666
destination charger,New York,United States,40.770709,-73.991725
destination charger,Mashpee,United States,41.61677,-70.492238
destination charger,Galveston,United States,29.309704,-94.790271
destination charger,Taupo,New Zealand,-38.704018,176.099465
destination charger,Ballina,Australia,-28.868603,153.58893
standard charger,Archidona,Spain,37.125982,-4.29612
destination charger,Aschheim / Dornach,Germany,48.151572,11.682367
destination charger,San Luis Potosi,Mexico,22.138238,-101.030344
destination charger,서울특별시,South Korea,37.5282778,126.9206837
destination charger,San Nicolas de los Garza,Mexico,25.720793,-100.217109
destination charger,Rouffach,France,47.962947,7.29653
destination charger,Valle Aurina,Italy,46.962835,11.920856
destination charger,Genas,France,45.72456,4.977139
destination charger,Cancun,Mexico,21.0811,-86.77384
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.366921,114.134683
supercharger,Vallejo,United States,38.131238,-122.223418
destination charger,Lienz,Austria,46.818849,12.754325
destination charger,Olsztyn,Poland,53.777127,20.482815
destination charger,Zehun,Czech Republic,50.140647,15.326887
destination charger,Munchen,Germany,48.169667,11.588112
destination charger,Lytton,Canada,50.260333,-121.535777
destination charger,Lagraulet-du-Gers,France,43.903443,0.212272
destination charger,Brno,Czech Republic,49.212834,16.567008
destination charger,Columbus,United States,39.958798,-82.994743
destination charger,New York,United States,40.782031,-73.959484
supercharger,Pismo Beach,United States,35.136647,-120.628705
destination charger,Poole,United Kingdom,50.714549,-1.992038
destination charger,Grand Junction,United States,39.115307,-108.535576
destination charger,Tongyeong-si,South Korea,34.7759457,128.395915
supercharger,Gilman,United States,40.752202,-87.996464
destination charger,Lodge,Austria,47.384887,12.545319
destination charger,Reno,United States,39.522924,-119.81402
supercharger,Saint-Priest,France,45.69848,4.977541
destination charger,士林區,Taiwan,25.099192,121.551172
destination charger,Kehl,Germany,48.576768,7.808276
destination charger,Chamblee,United States,33.8903894,-84.3001479
destination charger,Tempe,United States,33.430569,-111.938445
destination charger,Placerville,United States,38.694947,-120.908402
destination charger,Galena,United States,42.4053874,-90.3384164
supercharger,Chestertown,United States,43.665428,-73.784215
destination charger,Cancun,Mexico,21.11051,-86.839967
destination charger,Playa del Carmen,Mexico,20.766747,-86.955467
destination charger,Jojutla,Mexico,18.606225,-99.287826
supercharger,Parry Sound,Canada,45.345586,-80.006162
destination charger,Pasadena,United States,29.71204,-95.220038
standard charger,Mestre,Italy,45.512172,12.235153
destination charger,Uvalde,United States,29.215482,-99.76972
supercharger,Emeryville,United States,37.840281,-122.294041
destination charger,St. Helier,United Kingdom,49.191688,-2.109773
supercharger,台北市,Taiwan,25.02059,121.543246
supercharger,Skibotn,Norway,69.392448,20.268423
destination charger,St Helena,United States,38.519773,-122.475455
destination charger,Ljubljana,Slovenia,46.053864,14.515223
supercharger,Törökbálint,Hungary,47.43949,18.889644
destination charger,Obergurgl,Austria,46.875221,11.031812
destination charger,Santa Maria,United States,34.854043,-120.370813
destination charger,Branford,United States,41.27475,-72.812976
destination charger,Zapopan,Mexico,19.435098,-99.209671
destination charger,Waukegan,United States,42.4168768,-87.8672769
supercharger,San Francisco Ocotlán,Mexico,19.131853,-98.267274
destination charger,Rock Springs,United States,41.612227,-109.229994
destination charger,Tlalnepantla,Mexico,19.539116,-99.200164
destination charger,Dahlonega,United States,34.6077551,-83.8578646
destination charger,Dubai,United Arab Emirates,25.200945,55.272379
destination charger,Chingford,United Kingdom,51.648851,0.003133
destination charger,Athens,United States,33.961983,-83.375885
destination charger,Napa,United States,38.305275,-122.283453
standard charger,Campitello di Fassa,Italy,46.474658,11.74291
destination charger,Bronte Park,Australia,-42.143431,146.490744
supercharger,Copiague,United States,40.688883,-73.406437
destination charger,Idro,Italy,45.739758,10.4759
destination charger,Bayreuth,Germany,49.949118,11.579167
destination charger,Naramata,Canada,49.577732,-119.574345
destination charger,Newcastle,Australia,-32.929119,151.784941
destination charger,Cork,Ireland,51.893546,-8.508452
destination charger,New York,United States,40.76306,-73.968409
supercharger,Aleksinac,Serbia,43.528816,21.709413
destination charger,Gerols,Austria,47.229739,12.045904
destination charger,New York,United States,40.707679,-74.004687
destination charger,Braselton,United States,34.101297,-83.817654
destination charger,Monterrey,Mexico,25.615556,-100.27446
supercharger,Twin Falls,United States,42.597887,-114.455249
destination charger,Ciudad de Mexico,Mexico,19.369733,-99.194157
destination charger,Zapopan,Mexico,19.358103,-99.151884
supercharger,Vøringsfossen,Norway,60.410401,7.325072
destination charger,Amenia,United States,41.853424,-73.51334
destination charger,Gargas,France,43.87939,5.321029
destination charger,Budyne nad Ohri,Czech Republic,50.39488,14.0921
destination charger,Kitzbuehel,Austria,47.432478,12.42629
destination charger,Poznan,Poland,52.458816,16.881011
destination charger,Portschach,Austria,46.634356,14.120472
destination charger,Ardnamurchan,United Kingdom,56.691483,-5.940657
destination charger,Malchow,Germany,53.474523,12.428933
